match_id,direction,g14,g17,res
2034202,down,shallow,deep,B
2034206,up,shallow,shallow,B
2034218,down,deep,shallow,B
2034220,down,deep,shallow,B
2034229,down,deep,shallow,A
2034232,down,shallow,shallow,A
2034233,down,deep,shallow,A
2034234,down,deep,shallow,B
2034236,up,deep,deep,A
2034240,down,shallow,shallow,B
2034244,down,shallow,shallow,B
2034250,down,deep,shallow,B
2034255,up,shallow,shallow,A
2034256,up,shallow,shallow,A
2034653,down,deep,shallow,B
2034659,down,deep,,B
2034662,down,shallow,shallow,B
2034663,down,deep,shallow,A
2034667,down,deep,shallow,A
2034686,down,deep,shallow,A
2034688,down,deep,deep,B
2034697,down,shallow,shallow,A
2034701,up,deep,shallow,A
2034702,down,deep,shallow,B
2034715,down,shallow,deep,B
2034716,down,deep,shallow,A
2034718,down,shallow,deep,B
2034719,up,deep,deep,P
2034735,down,deep,shallow,B
2034738,down,shallow,deep,B
2034740,down,deep,deep,B
2034743,down,shallow,shallow,B
2034754,down,deep,shallow,B
2034774,down,deep,deep,P
2034778,down,deep,deep,A
2034780,down,shallow,shallow,B
2034787,down,shallow,deep,B
2034792,down,deep,shallow,B
2034793,down,deep,deep,B
2034801,up,deep,shallow,A
2034802,down,deep,shallow,B
2034818,down,deep,shallow,B
2034827,down,deep,shallow,B
2034831,down,,shallow,A
2034834,down,shallow,shallow,A
2034837,down,deep,deep,B
2034842,down,shallow,shallow,A
2034847,down,shallow,shallow,B
2034852,down,deep,shallow,B
2034853,down,deep,shallow,A
2034854,down,deep,deep,B
